SYMBOL,E10,E11,E12,E13,E14,E15,E16,P0
Mir7651,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7652,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7655,ACTIVE,QUIESCENT,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Mir7656,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7657,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7659,QUIESCENT,N/A,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED
Mir7660,ACTIVE,LOW_PRIMED,ACTIVE,POISED,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_POISED
Mir7661,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,PERMISSIVE_ACTIVE,LOW_PRIMED
Mir7662,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
Mir7663,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,QUIESCENT
Mir7664,QUIESCENT,QUIESCENT,QUIESCENT,N/A,QUIESCENT,N/A,N/A,N/A
Mir7665,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7667,PERMISSIVE_ACTIVE,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir767,PRIMED,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mir7670,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED
Mir7671,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED
Mir7672,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Mir7673,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,REFRACTORY,QUIESCENT
Mir7676-1,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7677,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
Mir7678,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,N/A,QUIESCENT,LOW_PRIMED
Mir7679,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED
Mir7680,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7681,POISED,N/A,N/A,N/A,N/A,QUIESCENT,N/A,QUIESCENT
Mir7682,POISED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7684,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
Mir7685,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7686,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,PERMISSIVE_ACTIVE,QUIESCENT
Mir7687,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,POISED,ACTIVE,ACTIVE,QUIESCENT
Mir7688,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7689,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
Mir770,PERMISSIVE_ACTIVE,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7b,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7j,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
Mir7k,LOW_PRIMED,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir802,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED
Mir804,ACTIVE,LOW_PRIMED,LOW_PRIMED,POISED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir8090,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir8091,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
